commodity_name,state,district,market,min_price,max_price,modal_price,date,certifications,storage type,export_potential,production_quantity,quality_grade
Amla(Nelli+Kai),Uttar Pradesh,Kanpur,Jhijhank,21,23,22,22-05-2019,CERTIFIED,Warehouse,Seasonal,90471,Grade B
Amphophalus,Kerala,Alappuzha,Alappuzha,27,28,27.5,22-05-2019,GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Ernakulam,Angamaly,24,28,26,22-05-2019,NON-GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Thiruvananthapuram,Attingal,18,20,20,22-05-2019,ORGANIC,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Alappuzha,Chengannur,23,26,25,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Alappuzha,Harippad,35,40,40,22-05-2019,ORGANIC,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Kozhikode(Calicut),Kallachi,18,22,20,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Alappuzha,Kayamkulam,18,20,19,22-05-2019,NON-GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Malappuram,Kottakkal,17.5,18.5,18,22-05-2019,ORGANIC,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Alappuzha,Madhavapuram,31,34,32,22-05-2019,NON-GMO,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Alappuzha,Mannar,25,27,26,22-05-2019,GMO,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Kozhikode(Calicut),Mukkom,20,24,22,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Kasargod,Neeleswaram,38,42,40,22-05-2019,GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Thiruvananthapuram,Neyyatinkara,23,25,24,22-05-2019,GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Kozhikode(Calicut),Palayam,15,17,16,22-05-2019,ORGANIC,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Malappuram,Perinthalmanna,26,34,30,22-05-2019,NON-GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Thiruvananthapuram,Pothencode,45,55,50,22-05-2019,GMO,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Kozhikode(Calicut),Quilandy,19,22,21,22-05-2019,ORGANIC,Warehouse,Emerging Markets,90966,Grade C
Amphophalus,Kerala,Idukki,Thodupuzha,22,24,24,22-05-2019,ORGANIC,Warehouse,Seasonal,90966,Grade C
Amphophalus,Kerala,Ernakulam,Thrippunithura,24,35,28,22-05-2019,CERTIFIED,Warehouse,Seasonal,90966,Grade C
Antawala,Karnataka,Chikmagalur,Chikkamagalore,20,20,20,22-05-2019,ORGANIC,Warehouse,Seasonal,58600,Export
Apple,Chattisgarh,Durg,Durg,60,80,70,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Apple,Haryana,Karnal,Asandh,40,45,44,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Apple,Haryana,Faridabad,Ballabhgarh,80,90,85,22-05-2019,ORGANIC,Cold Storage,High,62620,Grade A
Apple,Haryana,Hissar,Barwala(Hisar),90,90,90,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Haryana,Bhiwani,Ch. Dadri,80,100,90,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Apple,Haryana,Kaithal,Cheeka,50,90,90,22-05-2019,ORGANIC,Cold Storage,High,62620,Grade A
Apple,Haryana,Kaithal,Dhand,100,120,110,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Haryana,Fatehabad,Fatehabad,100,120,100,22-05-2019,GMO,Cold Storage,High,62620,Grade A
Apple,Haryana,Sonipat,Gohana,80,100,80,22-05-2019,GMO,Cold Storage,High,62620,Grade A
Apple,Haryana,Kurukshetra,Iamailabad,75,95,85,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Haryana,Mahendragarh-Narnaul,Mohindergarh,100,100,100,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Haryana,Jind,Narwana,70,80,75,22-05-2019,ORGANIC,Cold Storage,High,62620,Grade A
Apple,Haryana,Panipat,Panipat,50,150,115,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Haryana,Kurukshetra,Pehowa,52,53.6,53.2,22-05-2019,GMO,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Mandi,Dhanotu (Mandi),80,130,115,22-05-2019,GMO,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Kangra,Kangra,50,100,100,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Kangra,Kangra(Jassour),80,90,85,22-05-2019,CERTIFIED,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Mandi,Mandi(Mandi),80,110,100,22-05-2019,ORGANIC,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Kangra,Palampur,150,160,155,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Apple,Himachal Pradesh,Sirmore,Paonta Sahib,46,60,50,22-05-2019,NON-GMO,Cold Storage,High,62620,Grade A
Arhar+Dal(Tur+Dal),Assam,Nalbari,Nalbari,72,82,78.5,22-05-2019,NON-GMO,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Karnataka,Bangalore,Bangalore,74,92,83,22-05-2019,CERTIFIED,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Karnataka,Mysore,Mysore (Bandipalya),78,94,86,22-05-2019,NON-GMO,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Karnataka,Shimoga,Shimoga,85,95,91.5,22-05-2019,ORGANIC,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Madhya Pradesh,Sagar,Jaisinagar,36,38,37,22-05-2019,GMO,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Maharashtra,Buldhana,Deoulgaon Raja,47.01,47.01,47.01,22-05-2019,NON-GMO,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Maharashtra,Mumbai,Mumbai,60,85,72,22-05-2019,GMO,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Manipur,Bishnupur,Bishenpur,0,94,94,22-05-2019,GMO,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Manipur,Imphal West,Imphal,0,90,90,22-05-2019,GMO,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Manipur,Imphal East,Lamlong Bazaar,0,90,90,22-05-2019,ORGANIC,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Manipur,Thoubal,Thoubal,0,90,90,22-05-2019,ORGANIC,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Agra,Agra,69.5,72,70.8,22-05-2019,ORGANIC,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Allahabad,Ajuha,68.25,69,68.5,22-05-2019,GMO,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Aligarh,Aligarh,79,81,80,22-05-2019,ORGANIC,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Azamgarh,Azamgarh,71,72,71.5,22-05-2019,GMO,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Balrampur,Balrampur,60,62,61,22-05-2019,ORGANIC,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Bareilly,Bareilly,64.5,65,64.7,22-05-2019,CERTIFIED,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Basti,Basti,69,70,69.5,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Etawah,Bharthna,69.4,73.5,71.5,22-05-2019,GMO,Warehouse,Seasonal,42230,Grade C
Arhar+Dal(Tur+Dal),Uttar Pradesh,Aligarh,Charra,71,73,72,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,42230,Grade C
Ashgourd,Kerala,Kollam,Anchal,75,77,76,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Ernakulam,Angamaly,12,16,14,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Alappuzha,Aroor,14,16,15,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Kottayam,Athirampuzha,10,12,11,22-05-2019,ORGANIC,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Thiruvananthapuram,Chala,28,28.55,28.22,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Thirssur,Chavakkad,26,30,28,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Thirssur,Chelakkara,22,24,23,22-05-2019,NON-GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Alappuzha,Chengannur,15,16,16,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Alappuzha,Cherthala,15,16,15.5,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Kottayam,Ettumanoor,12,14,14,22-05-2019,CERTIFIED,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Alappuzha,Harippad,12,15,15,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Kozhikode(Calicut),Kallachi,18,22,20,22-05-2019,NON-GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Wayanad,Kalpetta,12,13,13,22-05-2019,CERTIFIED,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Kasargod,Kanjangadu,16,22,18,22-05-2019,NON-GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Alappuzha,Kayamkulam,8,10,9,22-05-2019,ORGANIC,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Palakad,Koduvayoor,6,10,8,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Malappuram,Kondotty,16,18,17,22-05-2019,GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Ernakulam,Kothamangalam,10,20,14,22-05-2019,ORGANIC,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Malappuram,Kottakkal,12,13,12.5,22-05-2019,NON-GMO,Dry Storage,Moderate,28983,Export
Ashgourd,Kerala,Pathanamthitta,Kuttoor,17,20,20,22-05-2019,CERTIFIED,Dry Storage,Moderate,28983,Export
Avare+Dal,Karnataka,Bangalore,Bangalore,40,44,42,22-05-2019,CERTIFIED,Dry Storage,Low,99688,Premium
Banana,Chattisgarh,Rajnandgaon,Rajnandgaon,22,22,22,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana,Gujarat,Narmada,Rajpipla,1.9,3,2.55,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Karnal,Asandh,30,32.5,32,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Hissar,Barwala(Hisar),16,16,16,22-05-2019,NON-GMO,Cold Storage,High,48804,Grade B
Banana,Haryana,Bhiwani,Bhiwani,15,16,15.5,22-05-2019,NON-GMO,Cold Storage,High,48804,Grade B
Banana,Haryana,Kaithal,Cheeka,22,22,22,22-05-2019,NON-GMO,Cold Storage,High,48804,Grade B
Banana,Haryana,Kaithal,Dhand,25,26,26,22-05-2019,GMO,Cold Storage,High,48804,Grade B
Banana,Haryana,Fatehabad,Fatehabad,14,15,14,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Sonipat,Ganaur,25,25,25,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana,Haryana,Kurukshetra,Iamailabad,25,35,30.2,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Sirsa,kalanwali,20,20,20,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana,Haryana,Rohtak,Meham,14,14,14,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Mahendragarh-Narnaul,Mohindergarh,30,30,30,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana,Haryana,Jind,Narwana,15,15,15,22-05-2019,GMO,Cold Storage,High,48804,Grade B
Banana,Haryana,Panipat,Panipat,9.5,9.5,9.5,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Yamuna Nagar,Radaur,24,24,24,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana,Haryana,Rohtak,Sampla,15,15,15,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Haryana,Sonipat,Sonepat,24,25,24,22-05-2019,CERTIFIED,Cold Storage,High,48804,Grade B
Banana,Himachal Pradesh,Kullu,Bhuntar,30,32,31,22-05-2019,GMO,Cold Storage,High,48804,Grade B
Banana,Himachal Pradesh,Bilaspur,Bilaspur,26,31,27,22-05-2019,ORGANIC,Cold Storage,High,48804,Grade B
Banana+-+Green,Chattisgarh,Durg,Durg,11,13,12,22-05-2019,NON-GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Gujarat,Ahmedabad,Ahmedabad,10,13,12,22-05-2019,NON-GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Gujarat,Bharuch,Bharuch,8,12.5,10,22-05-2019,ORGANIC,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Gujarat,Surat,Surat,8,13,10.5,22-05-2019,ORGANIC,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Haryana,Sonipat,Gohana,15,20,15,22-05-2019,GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Ernakulam,Aluva,58,70,64,22-05-2019,ORGANIC,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Ernakulam,Angamaly,50,56,53,22-05-2019,CERTIFIED,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Alappuzha,Aroor,46,48,47,22-05-2019,GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Kottayam,Athirampuzha,16,18,17,22-05-2019,GMO,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Thiruvananthapuram,Attingal,20,22,22,22-05-2019,NON-GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Thiruvananthapuram,Chala,57,57.52,57.28,22-05-2019,CERTIFIED,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Thirssur,Chavakkad,60,70,68,22-05-2019,ORGANIC,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Thirssur,Chelakkara,35,38,36,22-05-2019,ORGANIC,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Alappuzha,Chengannur,57,60,58,22-05-2019,GMO,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Kottayam,Ettumanoor,21,22,22,22-05-2019,GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Alappuzha,Harippad,30,40,35,22-05-2019,NON-GMO,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Wayanad,Kalpetta,45,46,46,22-05-2019,NON-GMO,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Kasargod,Kanjangadu,55,65,60,22-05-2019,GMO,Warehouse,Emerging Markets,77699,Grade C
Banana+-+Green,Kerala,Kottayam,Kanjirappally,45,50,48,22-05-2019,GMO,Warehouse,Seasonal,77699,Grade C
Banana+-+Green,Kerala,Kannur,Kannur,32,33,32.5,22-05-2019,GMO,Warehouse,Emerging Markets,77699,Grade C
Barley+(Jau),Haryana,Bhiwani,Ch. Dadri,14,15,14.5,22-05-2019,CERTIFIED,Dry Storage,Low,80608,Export
Barley+(Jau),Haryana,Jind,Uchana,17.08,17.08,17.08,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Madhya Pradesh,Panna,Ajaygarh,15,16,15.5,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Madhya Pradesh,Chhatarpur,Chhatarpur,17,17.5,17.35,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Madhya Pradesh,Neemuch,Neemuch,17.3,18.11,17.7,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Ajmer,Bijay Nagar,17.61,17.72,17.66,22-05-2019,ORGANIC,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Dausa,Dausa,16,17.4,16.7,22-05-2019,GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Bundi,DEI(Bundi),16.5,16.81,16.65,22-05-2019,GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Tonk,Deoli,16.8,17.1,16.95,22-05-2019,ORGANIC,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Hanumangarh,Goluwala,15.95,16.26,16.25,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Kota,Itawa,16.96,17.25,17.1,22-05-2019,GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Kota,Kota,17.01,17.65,17.4,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Dausa,Lalsot,16.75,17.2,17,22-05-2019,CERTIFIED,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Chittorgarh,Nimbahera,16,18,17,22-05-2019,GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Sikar,Sri Madhopur,17.33,17.5,17.4,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Ganganagar,Sriganganagar,16.25,16.89,16.4,22-05-2019,GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Tonk,Tonk,17.1,17.45,17.22,22-05-2019,ORGANIC,Dry Storage,Low,80608,Export
Barley+(Jau),Rajasthan,Tonk,Uniyara,16.26,16.26,16.26,22-05-2019,NON-GMO,Dry Storage,Low,80608,Export
Barley+(Jau),Uttar Pradesh,Agra,Achnera,18,18.9,18.45,22-05-2019,ORGANIC,Dry Storage,Low,80608,Export
Barley+(Jau),Uttar Pradesh,Agra,Agra,18.2,18.7,18.45,22-05-2019,ORGANIC,Dry Storage,Low,80608,Export
Beans,Gujarat,Jamnagar,Jamnagar,50,99.95,74.98,22-05-2019,ORGANIC,Dry Storage,Moderate,47619,Premium
Beans,Gujarat,Rajkot,Jasdan,45,60,54,22-05-2019,CERTIFIED,Dry Storage,Moderate,47619,Premium
Beans,Gujarat,Junagarh,Junagadh,35,56,47.5,22-05-2019,ORGANIC,Dry Storage,Moderate,47619,Premium
Beans,Gujarat,Amreli,Rajula,52.55,52.55,52.55,22-05-2019,GMO,Dry Storage,Moderate,47619,Premium
Beans,Gujarat,Junagarh,Visavadar,37.5,47.5,42.5,22-05-2019,NON-GMO,Dry Storage,Moderate,47619,Premium
Beans,Karnataka,Chikmagalur,Chikkamagalore,49,51,50,22-05-2019,NON-GMO,Dry Storage,Moderate,47619,Premium
Beans,Karnataka,Kolar,Kolar,80,90,85,22-05-2019,ORGANIC,Dry Storage,Moderate,47619,Premium
Beans,Karnataka,Bangalore,Ramanagara,70,80,75,22-05-2019,GMO,Dry Storage,Moderate,47619,Premium
Beans,Kerala,Malappuram,Kottakkal,57,58,57.5,22-05-2019,NON-GMO,Dry Storage,Moderate,47619,Premium
Beans,Maharashtra,Satara,Karad,34,38,38,22-05-2019,ORGANIC,Dry Storage,Moderate,47619,Premium
Beans,Maharashtra,Pune,Maanachar,20,44,32,22-05-2019,NON-GMO,Dry Storage,Moderate,47619,Premium
Beans,Maharashtra,Pune,Pune,70,120,100,22-05-2019,NON-GMO,Dry Storage,Moderate,47619,Premium
Beans,Nagaland,Dimapur,Dimapur,27,32,30,22-05-2019,GMO,Dry Storage,Moderate,47619,Premium
Beans,Odisha,Koraput,Koraput(Semilguda),41,43,42,22-05-2019,CERTIFIED,Dry Storage,Moderate,47619,Premium
Beaten+Rice,Assam,Nagaon,Dhing,26,27.5,27,22-05-2019,GMO,Warehouse,Seasonal,17877,Grade A
Beetroot,Gujarat,Ahmedabad,Ahmedabad,8,12,11,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Gujarat,Kheda,Nadiyad(Piplag),5.5,7.5,6.5,22-05-2019,NON-GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Gujarat,Surat,Surat,10,15,12.5,22-05-2019,NON-GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Karnataka,Chikmagalur,Chikkamagalore,9,11,10,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Karnataka,Davangere,Honnali,10,12,11,22-05-2019,ORGANIC,Dry Storage,Moderate,93966,Grade B
Beetroot,Karnataka,Kolar,Kolar,18,20,19,22-05-2019,NON-GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Ernakulam,Angamaly,30,34,32,22-05-2019,ORGANIC,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Alappuzha,Aroor,40,42,41,22-05-2019,NON-GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Kottayam,Athirampuzha,28,30,29,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Thiruvananthapuram,Chala,38,38.57,38.22,22-05-2019,CERTIFIED,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Thirssur,Chelakkara,20,22,21,22-05-2019,CERTIFIED,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Alappuzha,Chengannur,30,33,32,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Alappuzha,Cherthala,32,33,32.5,22-05-2019,ORGANIC,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Kottayam,Ettumanoor,32,33,33,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Alappuzha,Harippad,25,30,25,22-05-2019,GMO,Dry Storage,Moderate,93966,Grade B
Beetroot,Kerala,Kozhikode(Calicut),Kallachi,38,42,40,22-05-2019,NON-GMO,Dry Storage,Moderate,93966,Grade B
